,match_id,duration,radiant_win,radiant_denies,radiant_runes,radiant_cosmetics,radiant_camps_stacked,radiant_last_hits,radiant_consumables,radiant_ability_used,radiant_obs,radiant_portal_used,radiant_fruit_plucked,radiant_lamp_used,radiant_sent,dire_denies,dire_runes,dire_cosmetics,dire_camps_stacked,dire_last_hits,dire_consumables,dire_ability_used,dire_obs,dire_sent,dire_portal_used,dire_fruit_plucked,dire_lamp_used,avg_gold_adv_early,avg_xp_adv_early,radiant_kill_courier,dire_kill_courier,radiant_kill_rs,dire_kill_rs,radiant_aegis,dire_aegis,radiant_chat,dire_chat
0,7115636736,2347,False,55,14,18,9,759,33,597,18,0,0,0,36,30,35,17,8,995,47,741,18,35,0,0,0,246.5,289.6,1,1,0,1,0,1,28,19
1,7099875329,1383,False,5,1,5,2,304,16,402,11,0,0,0,14,40,29,21,1,439,20,350,10,11,0,0,0,-4111.9,-1667.3,0,3,0,1,0,1,23,21
2,7237632006,2117,False,48,24,6,12,865,32,1019,16,3,2,20,26,31,29,11,18,1119,34,582,18,28,1,5,9,-345.7,-463.3,1,2,0,2,0,1,66,35
3,7230619656,1865,True,35,18,4,8,709,26,594,14,0,7,13,21,24,28,2,8,783,31,630,15,22,0,7,9,-647.1,-213.7,1,2,0,0,0,0,18,3
4,7221346319,1656,False,42,9,3,5,591,21,533,12,0,7,9,10,32,27,6,1,639,22,411,13,20,0,3,11,55.3,190.5,2,1,0,0,0,0,13,9
5,7215906831,2083,False,23,27,14,13,1220,39,715,15,1,5,19,20,61,21,8,14,1147,32,775,16,28,9,3,14,-1337.4,-763.5,0,2,0,2,0,2,13,24
6,7099351056,2652,False,59,16,13,6,1149,44,1017,22,0,0,0,37,57,37,12,15,1187,48,759,21,34,0,0,0,-984.1,-924.9,3,1,0,3,0,3,33,30
7,7120060434,1259,True,38,19,0,5,342,29,434,10,1,6,7,12,8,9,0,0,162,18,407,8,7,0,1,2,2810.6,2057.8,1,1,0,0,0,0,6,8
8,7050133521,2263,True,58,22,17,10,930,28,1233,17,0,0,0,17,18,22,17,1,1110,18,729,16,14,0,0,0,1373.6,917.5,3,3,1,0,1,0,23,38
9,7073562645,1794,False,23,13,0,1,505,13,552,14,0,0,0,13,62,24,0,1,680,24,642,15,16,0,0,0,-568.2,-426.6,2,2,1,0,1,0,5,8
